순위,조건,다음날상승확률(%),발생횟수,기준선대비(%p),평균수익(%),검증결과메모
403,"60위 + 갭하락1",52.2,343,1.1,0.09,
404,"20아래 + 갭상승1",52.2,389,1.1,0.28,
405,"3%상승 + 60위 + 종가상승2",52.2,230,1.1,0.35,
406,"20아래 + 고변동5",52.2,531,1.1,0.29,
407,"20아래 + 60아래 + 갭상승1",52.1,282,1.0,0.39,
408,"음봉1",52.1,1944,1.0,0.19,
409,"20아래 + 종가상승2",52.1,240,1.0,0.37,
410,"60아래 + 갭상승1 + 이격-5",52.1,169,1.0,0.44,
411,"RSI과매수70 + 이격+5 + 종가상승2",52.1,315,1.0,0.56,
412,"3%상승 + 양봉1 + 종가상승2",52.0,296,0.9,0.41,
413,"60아래 + 음봉3 + 이격-5",52.0,173,0.9,-0.07,
414,"60아래 + 갭상승1 + 음봉1",52.0,223,0.9,0.05,
415,"60위 + 거래량1.5",52.0,250,0.9,0.35,
416,"60아래 + 갭상승1",52.0,377,0.9,0.37,
417,"3%상승 + 양봉1 + 이격+5",52.0,302,0.9,0.41,
418,"60아래 + RSI과매도30 + 이격-5",52.0,331,0.9,0.35,
419,"60위 + RSI과매수70 + 종가상승2",52.0,306,0.9,0.48,
420,"20고점 + 50고점 + 양봉1",52.0,204,0.9,0.44,
421,"20위 + 50고점 + 양봉1",52.0,204,0.9,0.44,
422,"50고점 + 60위 + 양봉1",52.0,204,0.9,0.44,
423,"50고점 + 양봉1",52.0,204,0.9,0.44,
424,"3%상승 + 양봉2 + 이격+5",52.0,179,0.9,0.15,
425,"50고점 + RSI과매수70 + 양봉1",51.9,156,0.8,0.40,
426,"RSI과매수70 + 양봉1 + 이격+5",51.9,447,0.8,0.53,
427,"20아래 + 60아래 + 종가상승2",51.9,160,0.8,0.59,
428,"20위 + 3일+10% + 60위",51.9,162,0.8,0.76,
429,"20아래 + 3%하락 + 음봉2",51.9,216,0.8,0.41,
430,"음봉1 + 음봉2 + 종가하락2",51.8,598,0.7,0.00,
431,"음봉2 + 종가하락2",51.8,598,0.7,0.00,
432,"3%하락 + 60아래 + 음봉2",51.8,164,0.7,0.39,
433,"20아래 + RSI과매도30 + 이격-5",51.8,357,0.7,0.31,
434,"RSI과매도30 + 이격-5",51.8,357,0.7,0.31,
435,"20아래 + 60아래 + 고변동5",51.7,408,0.6,0.35,
436,"20아래 + 60아래 + RSI과매도30",51.7,350,0.6,0.33,
437,"60아래 + RSI과매도30",51.7,350,0.6,0.33,
438,"20위 + 이격+5",51.7,1172,0.6,0.38,
439,"이격+5",51.7,1172,0.6,0.38,
440,"갭상승1 + 갭상승2 + 종가상승2",51.7,178,0.6,0.57,
441,"갭상승2 + 종가상승2",51.7,178,0.6,0.57,
442,"3%상승",51.7,625,0.6,0.41,
443,"20위 + 고변동5 + 양봉2",51.7,151,0.6,-0.02,
444,"50고점 + 양봉1 + 종가상승2",51.7,151,0.6,0.43,
445,"20아래 + 이격-5",51.6,819,0.5,0.34,
446,"이격-5",51.6,819,0.5,0.34,
447,"RSI과매도30 + 이격-5 + 종가하락2",51.6,153,0.5,0.05,
448,"20위",51.6,2181,0.5,0.26,
449,"3일+10% + 60위 + 이격+5",51.6,155,0.5,0.82,
450,"20위 + 이격+5 + 종가상승3",51.6,312,0.5,0.54,
451,"이격+5 + 종가상승2 + 종가상승3",51.6,312,0.5,0.54,
452,"이격+5 + 종가상승3",51.6,312,0.5,0.54,
453,"20고점 + 양봉1 + 이격+10",51.6,157,0.5,0.45,
454,"갭하락1 + 이격-5 + 종가하락2",51.6,157,0.5,0.06,
455,"거래량1.5",51.6,413,0.5,0.39,
456,"20아래 + 음봉1 + 종가하락2",51.6,512,0.5,0.10,
457,"60위 + RSI과매수70 + 양봉1",51.6,450,0.5,0.50,
458,"60위 + 종가상승2 + 종가상승3",51.5,388,0.4,0.23,
459,"60위 + 종가상승3",51.5,388,0.4,0.23,
460,"20아래 + 60위 + 음봉1",51.5,295,0.4,0.00,
461,"3%상승 + 60아래 + 양봉1",51.5,198,0.4,0.46,
462,"3일+10% + 60위",51.5,167,0.4,0.78,
463,"20위 + 갭상승1 + 이격+5",51.5,375,0.4,0.44,
464,"갭상승1 + 이격+5",51.5,375,0.4,0.44,
465,"20아래 + RSI과매도30",51.5,379,0.4,0.29,
466,"RSI과매도30",51.5,379,0.4,0.29,
467,"20위 + 60위",51.4,1730,0.3,0.28,
468,"갭상승1 + 음봉1",51.4,498,0.3,0.20,
469,"20고점 + 20위 + 50고점",51.4,214,0.3,0.40,
470,"20고점 + 50고점",51.4,214,0.3,0.40,
471,"20고점 + 50고점 + 60위",51.4,214,0.3,0.40,
472,"20위 + 50고점",51.4,214,0.3,0.40,
473,"20위 + 50고점 + 60위",51.4,214,0.3,0.40,
474,"50고점",51.4,214,0.3,0.40,
475,"50고점 + 60위",51.4,214,0.3,0.40,
476,"3%상승 + 60위 + 이격+5",51.4,286,0.3,0.48,
477,"갭하락1 + 음봉1 + 종가하락2",51.4,179,0.3,-0.01,
478,"20위 + 60위 + 종가상승3",51.4,360,0.3,0.28,
479,"20위 + 고변동5 + 종가상승2",51.4,181,0.3,0.17,
480,"60아래 + 갭상승1 + 양봉1",51.3,150,0.2,0.80,
481,"고변동5 + 고변동8",51.3,226,0.2,0.35,
482,"고변동8",51.3,226,0.2,0.35,
483,"50고점 + 양봉1 + 이격+5",51.3,191,0.2,0.44,
484,"60아래 + 음봉1 + 이격-5",51.3,462,0.2,0.24,
485,"고변동5 + 양봉1 + 이격+10",51.3,154,0.2,0.12,
486,"20고점 + 50고점 + 종가상승2",51.3,154,0.2,0.41,
487,"20위 + 50고점 + 종가상승2",51.3,154,0.2,0.41,
488,"50고점 + 60위 + 종가상승2",51.3,154,0.2,0.41,
489,"50고점 + 종가상승2",51.3,154,0.2,0.41,
490,"3%상승 + 갭상승1",51.3,347,0.2,0.40,
491,"60위 + 종가상승2",51.3,702,0.2,0.20,
492,"20아래 + 음봉2 + 종가하락2",51.3,435,0.2,0.02,
493,"60위",51.3,2228,0.2,0.20,
494,"20고점 + 20위 + 이격+10",51.2,160,0.2,0.40,
495,"20고점 + 이격+10",51.2,160,0.2,0.40,
496,"20고점 + 이격+10 + 이격+5",51.2,160,0.2,0.40,
497,"20위 + RSI과매수70 + 양봉3",51.2,160,0.2,0.44,
498,"RSI과매수70 + 양봉1 + 양봉3",51.2,160,0.2,0.44,
499,"RSI과매수70 + 양봉2 + 양봉3",51.2,160,0.2,0.44,
500,"RSI과매수70 + 양봉3",51.2,160,0.2,0.44,
501,"20아래 + 3%하락 + 음봉1",51.2,375,0.1,0.44,
502,"20아래 + 60아래 + 이격-5",51.2,709,0.1,0.35,
503,"60아래 + 이격-5",51.2,709,0.1,0.35,
504,"20위 + 이격+5 + 종가상승2",51.2,506,0.1,0.40,
505,"이격+5 + 종가상승2",51.2,506,0.1,0.40,
506,"20위 + 60위 + 종가상승2",51.1,622,0.0,0.23,
507,"3%상승 + 60위",51.1,415,0.0,0.35,
508,"종가상승2",51.1,1016,0.0,0.28,
509,"20아래 + 음봉2 + 이격-5",51.1,331,0.0,0.08,
510,"음봉1 + 음봉2 + 이격-5",51.1,331,0.0,0.08,
511,"음봉2 + 이격-5",51.1,331,0.0,0.08,
512,"3%하락 + 갭하락1",51.0,286,-0.1,0.10,
513,"갭상승1",51.0,959,-0.1,0.26,
514,"3일+10% + 종가상승2",51.0,153,-0.1,0.77,
515,"갭상승1 + 갭상승2 + 음봉1",51.0,208,-0.1,0.49,
516,"갭상승2 + 음봉1",51.0,208,-0.1,0.49,
517,"갭상승1 + 거래량1.5",51.0,157,-0.1,0.34,
518,"양봉1 + 이격+5 + 종가상승2",50.9,422,-0.2,0.32,
519,"20아래 + 60위 + 종가하락2",50.9,159,-0.2,-0.02,
520,"3%상승 + 양봉1",50.9,587,-0.2,0.31,
521,"20고점 + 50고점 + RSI과매수70",50.9,163,-0.2,0.37,
522,"20위 + 50고점 + RSI과매수70",50.9,163,-0.2,0.37,
523,"50고점 + 60위 + RSI과매수70",50.9,163,-0.2,0.37,
524,"50고점 + RSI과매수70",50.9,163,-0.2,0.37,
525,"60아래 + 거래량1.5",50.9,163,-0.2,0.46,
526,"60위 + 갭상승1 + 음봉1",50.9,275,-0.2,0.31,
527,"갭상승1 + 양봉1 + 이격+5",50.9,220,-0.2,0.33,
528,"60아래 + 음봉1",50.9,939,-0.2,0.14,
529,"20위 + 양봉2 + 이격+5",50.9,442,-0.2,0.24,
530,"양봉1 + 양봉2 + 이격+5",50.9,442,-0.2,0.24,
531,"양봉2 + 이격+5",50.9,442,-0.2,0.24,
532,"20아래 + 고변동5 + 양봉1",50.9,167,-0.2,0.50,
533,"60아래",50.9,1729,-0.2,0.22,
534,"60위 + 이격+5 + 종가상승3",50.9,279,-0.2,0.42,
535,"20위 + 갭하락1",50.9,285,-0.2,-0.04,
536,"60아래 + 양봉1",50.9,747,-0.2,0.31,
537,"20위 + 60위 + 이격+5",50.8,1060,-0.3,0.36,
538,"60위 + 이격+5",50.8,1060,-0.3,0.36,
539,"60아래 + 음봉1 + 음봉2",50.8,492,-0.3,-0.04,
540,"60아래 + 음봉2",50.8,492,-0.3,-0.04,
541,"60위 + 양봉1 + 종가상승3",50.8,309,-0.3,0.18,
542,"20위 + 종가상승2 + 종가상승3",50.8,439,-0.3,0.37,
543,"20위 + 종가상승3",50.8,439,-0.3,0.37,
544,"20아래 + 음봉1",50.8,1071,-0.3,0.10,
545,"20위 + 3%상승",50.8,451,-0.3,0.41,
546,"양봉1 + 이격+5 + 종가상승3",50.8,258,-0.3,0.47,
547,"20위 + 종가상승2",50.8,776,-0.3,0.25,
548,"20고점 + 50고점 + 이격+5",50.8,197,-0.3,0.42,
549,"20위 + 50고점 + 이격+5",50.8,197,-0.3,0.42,
550,"50고점 + 60위 + 이격+5",50.8,197,-0.3,0.42,
551,"50고점 + 이격+5",50.8,197,-0.3,0.42,
552,"60위 + 고변동5 + 양봉1",50.7,270,-0.4,0.12,
553,"20위 + 양봉1 + 종가상승3",50.7,357,-0.4,0.37,
554,"음봉1 + 음봉2",50.7,929,-0.4,0.02,
555,"음봉2",50.7,929,-0.4,0.02,
556,"20위 + 양봉1 + 이격+5",50.7,736,-0.4,0.32,
557,"양봉1 + 이격+5",50.7,736,-0.4,0.32,
558,"20아래 + 60아래 + 음봉2",50.7,446,-0.4,0.01,
559,"고변동5 + 종가상승2",50.7,227,-0.4,0.25,
560,"20아래 + RSI과매도30 + 음봉2",50.6,154,-0.4,-0.07,
561,"RSI과매도30 + 음봉1 + 음봉2",50.6,154,-0.4,-0.07,
562,"RSI과매도30 + 음봉2",50.6,154,-0.4,-0.07,
563,"20위 + 갭상승1 + 양봉1",50.6,310,-0.5,0.26,
564,"3%상승 + 60위 + 양봉1",50.6,389,-0.5,0.23,
565,"50고점 + RSI과매수70 + 이격+5",50.6,156,-0.5,0.39,
566,"60아래 + 종가상승2",50.6,314,-0.5,0.46,
567,"20아래 + RSI과매도30 + 종가하락2",50.6,160,-0.5,0.03,
568,"RSI과매도30 + 종가하락2",50.6,160,-0.5,0.03,
569,"갭상승1 + 고변동5",50.6,324,-0.5,0.15,
570,"60아래 + 고변동5",50.6,494,-0.5,0.27,
571,"20아래 + 60위",50.6,498,-0.5,-0.09,
572,"60위 + 음봉1 + 음봉2",50.6,437,-0.5,0.10,
573,"60위 + 음봉2",50.6,437,-0.5,0.10,
574,"3%상승 + 고변동5 + 이격+5",50.6,178,-0.5,0.17,
575,"20위 + 3%상승 + 60위",50.6,360,-0.5,0.41,
576,"60위 + 양봉1 + 종가상승2",50.5,560,-0.6,0.11,
577,"60아래 + 음봉2 + 이격-5",50.5,285,-0.6,0.07,
578,"20아래 + 60아래 + 음봉1",50.5,776,-0.6,0.13,
579,"20아래",50.5,1776,-0.6,0.15,
580,"3일+10%",50.5,222,-0.6,0.83,
581,"60위 + 이격+5 + 종가상승2",50.4,450,-0.7,0.35,
582,"20위 + 3%상승 + 갭상승1",50.4,236,-0.7,0.40,
583,"20아래 + 60아래",50.4,1278,-0.7,0.24,
584,"20위 + 양봉1",50.4,1267,-0.7,0.23,
585,"60위 + 갭상승1",50.3,582,-0.8,0.19,
586,"20고점 + 60위 + 이격+10",50.3,155,-0.8,0.32,
587,"3%하락 + 60아래",50.3,324,-0.8,0.38,
588,"거래량절반",50.3,163,-0.8,0.21,
589,"60아래 + 갭하락1 + 종가하락2",50.3,179,-0.8,-0.18,
590,"60위 + 갭상승1 + 고변동5",50.3,185,-0.8,-0.11,
591,"20위 + 60위 + 갭상승2",50.2,205,-0.9,0.37,
592,"20위 + 3%상승 + 양봉1",50.2,426,-0.9,0.32,
593,"20고점 + 양봉1 + 종가상승2",50.2,217,-0.9,0.44,
594,"20위 + 60위 + 거래량1.5",50.2,219,-0.9,0.35,
595,"갭상승1 + 양봉1",50.2,452,-0.9,0.30,
596,"60위 + 갭상승1 + 갭상승2",50.2,243,-0.9,0.30,
597,"60위 + 갭상승2",50.2,243,-0.9,0.30,
598,"20위 + 갭상승1",50.2,570,-0.9,0.24,
599,"20고점 + 20위 + 양봉1",50.2,299,-0.9,0.39,
600,"20고점 + 양봉1",50.2,299,-0.9,0.39,
601,"60위 + 갭상승1 + 이격+5",50.1,343,-1.0,0.37,
602,"양봉1",50.1,1930,-1.0,0.22,
603,"20위 + 양봉1 + 종가상승2",50.1,635,-1.0,0.18,
604,"20위 + 60위 + 갭하락1",50.0,226,-1.1,-0.02,
605,"60위 + 거래량1.5 + 이격+5",50.0,176,-1.1,0.41,
606,"20위 + 갭상승1 + 음봉1",50.0,256,-1.1,0.22,
607,"20고점 + RSI과매수70 + 양봉1",50.0,206,-1.1,0.32,
608,"60위 + 음봉2 + 종가하락2",50.0,250,-1.1,0.00,
609,"3%상승 + 60위 + 고변동5",50.0,210,-1.1,0.23,
610,"3%상승 + 고변동5 + 종가상승2",50.0,166,-1.1,0.29,
611,"3%하락 + 갭하락1 + 고변동5",50.0,150,-1.1,0.15,
612,"갭하락1 + 음봉1",50.0,344,-1.1,-0.03,
613,"60위 + RSI과매수70 + 양봉3",50.0,150,-1.1,0.32,
614,"RSI과매수70 + 양봉3 + 이격+5",50.0,154,-1.1,0.45,
615,"갭하락1 + 음봉2 + 종가하락2",50.0,154,-1.1,-0.04,
616,"60아래 + 양봉1 + 이격-5",50.0,234,-1.1,0.52,
617,"20아래 + 갭하락1 + 양봉1",50.0,200,-1.1,0.05,
618,"60아래 + 갭하락1 + 양봉1",50.0,186,-1.1,-0.03,
619,"20아래 + 음봉1 + 음봉2",49.9,617,-1.2,-0.03,
620,"20아래 + 음봉2",49.9,617,-1.2,-0.03,
621,"20위 + 60위 + 갭상승1",49.9,475,-1.2,0.23,
622,"20아래 + 60아래 + 양봉1",49.9,471,-1.2,0.38,
623,"양봉2 + 이격+5 + 종가상승2",49.9,353,-1.2,0.10,
624,"20고점",49.8,311,-1.3,0.36,
625,"20고점 + 20위",49.8,311,-1.3,0.36,
626,"3%상승 + 갭상승1 + 양봉1",49.8,309,-1.3,0.20,
627,"20아래 + 양봉1 + 이격-5",49.8,267,-1.3,0.50,
628,"양봉1 + 이격-5",49.8,267,-1.3,0.50,
629,"3%상승 + 60위 + 갭상승1",49.8,229,-1.3,0.23,
630,"20고점 + 20위 + 종가상승2",49.8,221,-1.3,0.42,
631,"20고점 + 종가상승2",49.8,221,-1.3,0.42,
632,"RSI과매수70 + 양봉2 + 종가상승2",49.8,217,-1.3,0.20,
633,"양봉1 + 종가상승2",49.8,810,-1.3,0.16,
634,"20위 + 60위 + 양봉1",49.7,991,-1.4,0.25,
635,"갭상승1 + 갭상승2 + 고변동5",49.7,185,-1.4,0.08,
636,"갭상승2 + 고변동5",49.7,185,-1.4,0.08,
637,"종가상승2 + 종가상승3",49.7,519,-1.4,0.25,
638,"종가상승3",49.7,519,-1.4,0.25,
639,"거래량1.5 + 거래량2",49.7,155,-1.4,0.62,
640,"거래량2",49.7,155,-1.4,0.62,
641,"20위 + 거래량1.5 + 고변동5",49.7,155,-1.4,0.51,
642,"60위 + 갭상승1 + 양봉1",49.7,302,-1.4,0.06,
643,"20아래 + 3%하락 + 60아래",49.7,298,-1.4,0.44,
644,"양봉1 + 종가상승2 + 종가상승3",49.6,413,-1.5,0.22,
645,"양봉1 + 종가상승3",49.6,413,-1.5,0.22,
646,"20아래 + 양봉1",49.6,663,-1.5,0.20,
647,"60위 + 양봉1 + 이격+5",49.6,659,-1.5,0.27,
648,"60위 + 양봉1",49.6,1183,-1.5,0.17,
649,"60위 + 양봉2 + 이격+5",49.6,393,-1.5,0.17,
650,"3%하락 + 갭하락1 + 음봉1",49.6,258,-1.5,0.06,
651,"갭하락1 + 양봉1",49.6,379,-1.5,-0.05,
652,"갭상승1 + 음봉1 + 음봉2",49.5,216,-1.6,0.04,
653,"갭상승1 + 음봉2",49.5,216,-1.6,0.04,
654,"20고점 + 20위 + RSI과매수70",49.5,214,-1.6,0.30,
655,"20고점 + RSI과매수70",49.5,214,-1.6,0.30,
656,"60아래 + 양봉1 + 양봉2",49.5,317,-1.6,0.16,
657,"60아래 + 양봉2",49.5,317,-1.6,0.16,
658,"갭하락1",49.5,737,-1.6,-0.04,
659,"양봉2 + 이격+5 + 종가상승3",49.5,210,-1.6,0.22,
660,"20위 + 양봉1 + 양봉2",49.5,675,-1.6,0.08,
661,"20위 + 양봉2",49.5,675,-1.6,0.08,
662,"20고점 + 양봉1 + 이격+5",49.5,281,-1.6,0.35,
663,"3%하락 + 60아래 + 음봉1",49.4,308,-1.7,0.36,
664,"20위 + 60아래 + 종가상승2",49.4,154,-1.7,0.32,
665,"고변동5 + 양봉1",49.3,458,-1.8,0.14,
666,"20고점 + 60위 + 양봉1",49.3,282,-1.8,0.34,
667,"20고점 + 20위 + 양봉2",49.3,211,-1.8,0.36,
668,"20고점 + 양봉1 + 양봉2",49.3,211,-1.8,0.36,
669,"20고점 + 양봉2",49.3,211,-1.8,0.36,
670,"20위 + 양봉2 + 종가상승3",49.3,278,-1.8,0.12,
671,"3%상승 + 갭상승1 + 갭상승2",49.3,207,-1.8,0.28,
672,"3%상승 + 갭상승2",49.3,207,-1.8,0.28,
673,"20고점 + 60위 + 종가상승2",49.3,207,-1.8,0.35,
674,"20고점 + RSI과매수70 + 이격+5",49.3,207,-1.8,0.32,
675,"20고점 + 양봉2 + 이격+5",49.3,201,-1.8,0.37,
676,"60위 + 갭하락1 + 양봉1",49.2,193,-1.9,-0.06,
677,"20위 + 갭하락1 + 양봉1",49.2,179,-1.9,-0.15,
678,"60위 + 양봉2 + 종가상승3",49.2,238,-1.9,-0.05,
679,"20고점 + 20위 + 60위",49.1,293,-2.0,0.32,
680,"20고점 + 60위",49.1,293,-2.0,0.32,
681,"20고점 + 20위 + 이격+5",49.1,289,-2.0,0.33,
682,"20고점 + 이격+5",49.1,289,-2.0,0.33,
683,"갭하락1 + 고변동5",49.1,289,-2.0,0.01,
684,"20위 + 3%상승 + 양봉2",49.1,228,-2.0,0.07,
685,"3%상승 + 고변동5",49.1,324,-2.0,0.23,
686,"양봉1 + 양봉2",49.1,915,-2.0,0.06,
687,"양봉2",49.1,915,-2.0,0.06,
688,"60위 + 갭상승1 + 양봉2",49.1,161,-2.0,-0.10,
689,"고변동5 + 양봉1 + 이격+5",49.1,214,-2.0,-0.14,
690,"20고점 + 60위 + RSI과매수70",49.0,208,-2.1,0.23,
691,"3%상승 + 60위 + 양봉2",49.0,198,-2.1,-0.08,
692,"20위 + 갭상승1 + 갭상승2",49.0,247,-2.1,0.38,
693,"20위 + 갭상승2",49.0,247,-2.1,0.38,
694,"20아래 + 60위 + 양봉1",49.0,192,-2.1,-0.24,
695,"20고점 + 양봉2 + 종가상승2",48.9,188,-2.2,0.41,
696,"갭상승1 + 양봉2 + 종가상승2",48.9,184,-2.2,0.03,
697,"60위 + 양봉1 + 양봉2",48.8,598,-2.3,0.00,
698,"60위 + 양봉2",48.8,598,-2.3,0.00,
699,"3%상승 + 5%상승",48.8,254,-2.3,0.27,
700,"5%상승",48.8,254,-2.3,0.27,
701,"20위 + 갭상승1 + 양봉2",48.8,168,-2.3,-0.06,
702,"20고점 + 이격+5 + 종가상승2",48.8,209,-2.3,0.42,
703,"20아래 + 3%하락 + 갭하락1",48.8,207,-2.3,0.15,
704,"3%상승 + 양봉1 + 양봉2",48.8,287,-2.3,0.04,
705,"3%상승 + 양봉2",48.8,287,-2.3,0.04,
706,"60위 + 양봉2 + 종가상승2",48.8,445,-2.3,-0.10,
707,"갭상승1 + 갭상승2",48.7,392,-2.4,0.23,
708,"갭상승2",48.7,392,-2.4,0.23,
709,"3%상승 + 5%상승 + 고변동5",48.7,193,-2.4,0.28,
710,"5%상승 + 고변동5",48.7,193,-2.4,0.28,
711,"20위 + 3%상승 + 고변동5",48.7,230,-2.4,0.13,
712,"20아래 + 갭하락1",48.7,452,-2.4,-0.04,
713,"20위 + 거래량1.5 + 이격+5",48.7,187,-2.4,0.34,
714,"거래량1.5 + 이격+5",48.7,187,-2.4,0.34,
715,"20아래 + 갭하락1 + 고변동5",48.6,185,-2.5,0.17,
716,"20위 + 갭상승1 + 고변동5",48.6,183,-2.5,-0.09,
717,"양봉1 + 양봉2 + 종가상승3",48.6,317,-2.5,0.01,
718,"양봉2 + 종가상승2 + 종가상승3",48.6,317,-2.5,0.01,
719,"양봉2 + 종가상승3",48.6,317,-2.5,0.01,
720,"20아래 + 양봉1 + 종가상승2",48.6,175,-2.5,0.12,
721,"20위 + 60위 + 양봉2",48.5,524,-2.6,0.04,
722,"20고점 + 60위 + 양봉2",48.5,196,-2.6,0.28,
723,"20위 + 고변동5 + 양봉1",48.5,291,-2.6,-0.07,
724,"20위 + 양봉2 + 종가상승2",48.4,514,-2.7,-0.07,
725,"고변동5 + 양봉1 + 종가상승2",48.4,192,-2.7,0.11,
726,"20위 + 양봉3 + 종가상승3",48.4,217,-2.7,0.04,
727,"20위 + 5%상승 + 60위",48.4,153,-2.7,0.42,
728,"60위 + 양봉3 + 종가상승3",48.4,182,-2.7,-0.12,
729,"양봉1 + 양봉3 + 종가상승3",48.3,242,-2.8,-0.02,
730,"양봉2 + 양봉3 + 종가상승3",48.3,242,-2.8,-0.02,
731,"양봉3 + 종가상승2 + 종가상승3",48.3,242,-2.8,-0.02,
732,"양봉3 + 종가상승3",48.3,242,-2.8,-0.02,
733,"20아래 + 갭하락1 + 음봉1",48.3,242,-2.8,-0.10,
734,"양봉1 + 양봉2 + 종가상승2",48.3,644,-2.8,-0.03,
735,"양봉2 + 종가상승2",48.3,644,-2.8,-0.03,
736,"양봉3 + 이격+5 + 종가상승3",48.2,166,-2.9,0.16,
737,"20고점 + 60위 + 이격+5",48.2,272,-2.9,0.28,
738,"20위 + 거래량1.5",48.1,243,-3.0,0.23,
739,"20위 + 3%상승 + 5%상승",48.1,189,-3.0,0.31,
740,"20위 + 5%상승",48.1,189,-3.0,0.31,
741,"3%상승 + 5%상승 + 양봉1",48.1,235,-3.0,0.05,
742,"5%상승 + 양봉1",48.1,235,-3.0,0.05,
743,"갭하락1 + 음봉1 + 음봉2",48.0,177,-3.1,-0.20,
744,"갭하락1 + 음봉2",48.0,177,-3.1,-0.20,
745,"60아래 + 양봉1 + 종가상승2",48.0,250,-3.1,0.28,
746,"20아래 + 60위 + 음봉2",48.0,171,-3.1,-0.14,
747,"3%상승 + 5%상승 + 60위",48.0,171,-3.1,0.32,
748,"5%상승 + 60위",48.0,171,-3.1,0.32,
749,"20아래 + 양봉1 + 양봉2",47.9,240,-3.2,-0.01,
750,"20아래 + 양봉2",47.9,240,-3.2,-0.01,
751,"3%상승 + 양봉2 + 종가상승2",47.9,236,-3.2,0.01,
752,"3%상승 + 갭상승1 + 고변동5",47.8,159,-3.3,0.15,
753,"갭상승1 + 양봉1 + 양봉2",47.8,226,-3.3,0.00,
754,"갭상승1 + 양봉2",47.8,226,-3.3,0.00,
755,"5%상승 + 고변동5 + 양봉1",47.8,180,-3.3,0.06,
756,"20위 + 5%상승 + 양봉1",47.8,178,-3.3,0.10,
757,"고변동5 + 양봉1 + 양봉2",47.7,199,-3.4,-0.23,
758,"고변동5 + 양봉2",47.7,199,-3.4,-0.23,
759,"20위 + 양봉3 + 이격+5",47.7,243,-3.4,0.18,
760,"양봉1 + 양봉3 + 이격+5",47.7,243,-3.4,0.18,
761,"양봉2 + 양봉3 + 이격+5",47.7,243,-3.4,0.18,
762,"양봉3 + 이격+5",47.7,243,-3.4,0.18,
763,"3%상승 + 고변동5 + 양봉1",47.7,304,-3.4,0.07,
764,"양봉1 + 양봉2 + 양봉3",47.6,416,-3.5,-0.02,
765,"양봉1 + 양봉3",47.6,416,-3.5,-0.02,
766,"양봉2 + 양봉3",47.6,416,-3.5,-0.02,
767,"양봉3",47.6,416,-3.5,-0.02,
768,"20위 + 양봉1 + 양봉3",47.5,343,-3.6,0.01,
769,"20위 + 양봉2 + 양봉3",47.5,343,-3.6,0.01,
770,"20위 + 양봉3",47.5,343,-3.6,0.01,
771,"5%상승 + 60위 + 양봉1",47.5,160,-3.6,0.08,
772,"20아래 + 갭하락1 + 이격-5",47.4,266,-3.7,-0.03,
773,"갭하락1 + 이격-5",47.4,266,-3.7,-0.03,
774,"60아래 + 고변동5 + 양봉1",47.3,188,-3.8,0.15,
775,"3%상승 + 5%상승 + 갭상승1",47.3,184,-3.8,0.13,
776,"5%상승 + 갭상승1",47.3,184,-3.8,0.13,
777,"60아래 + 양봉2 + 종가상승2",47.2,199,-3.9,0.12,
778,"60아래 + 갭하락1",47.2,394,-3.9,-0.16,
779,"양봉1 + 양봉3 + 종가상승2",47.0,283,-4.1,-0.14,
780,"양봉2 + 양봉3 + 종가상승2",47.0,283,-4.1,-0.14,
781,"양봉3 + 종가상승2",47.0,283,-4.1,-0.14,
782,"20위 + 양봉3 + 종가상승2",47.0,247,-4.1,-0.07,
783,"3일+10% + 양봉1",46.9,160,-4.2,0.49,
784,"3%상승 + 갭상승1 + 양봉2",46.8,156,-4.3,-0.08,
785,"갭하락1 + 양봉1 + 양봉2",46.8,156,-4.3,-0.33,
786,"갭하락1 + 양봉2",46.8,156,-4.3,-0.33,
787,"양봉3 + 이격+5 + 종가상승2",46.6,189,-4.5,0.08,
788,"20위 + 60위 + 양봉3",46.4,265,-4.7,0.01,
789,"갭하락1 + 음봉1 + 이격-5",46.4,153,-4.7,-0.08,
790,"20아래 + 60아래 + 양봉2",46.4,166,-4.7,0.11,
791,"60위 + 양봉3 + 종가상승2",46.3,205,-4.8,-0.16,
792,"60위 + 양봉3 + 이격+5",46.2,212,-4.9,0.08,
793,"3%상승 + 갭상승2 + 양봉1",46.2,169,-4.9,-0.10,
794,"갭상승1 + 갭상승2 + 양봉1",46.2,182,-4.9,-0.05,
795,"갭상승2 + 양봉1",46.2,182,-4.9,-0.05,
796,"5%상승 + 갭상승1 + 양봉1",46.1,165,-5.0,-0.19,
797,"20아래 + 60아래 + 갭하락1",46.0,335,-5.1,-0.17,
798,"60위 + 양봉1 + 양봉3",46.0,285,-5.1,-0.05,
799,"60위 + 양봉2 + 양봉3",46.0,285,-5.1,-0.05,
800,"60위 + 양봉3",46.0,285,-5.1,-0.05,
801,"60아래 + 갭하락1 + 이격-5",45.6,226,-5.5,-0.14,
802,"양봉1 + 양봉2 + 양봉4",45.5,187,-5.6,-0.12,
803,"양봉1 + 양봉3 + 양봉4",45.5,187,-5.6,-0.12,
804,"양봉1 + 양봉4",45.5,187,-5.6,-0.12,
805,"양봉2 + 양봉3 + 양봉4",45.5,187,-5.6,-0.12,
806,"양봉2 + 양봉4",45.5,187,-5.6,-0.12,
807,"양봉3 + 양봉4",45.5,187,-5.6,-0.12,
