조건,다음날상승확률(%),발생횟수,기준선대비(%p),평균수익(%)
"갭상승1 + 거래량1.5 + 고변동5",49.1,106,-2.0,0.13
"20아래 + 5%상승 + 갭상승1",49.1,53,-2.0,-0.08
"20아래 + RSI과매도30 + 음봉3",49.0,104,-2.1,-0.45
"RSI과매도30 + 음봉1 + 음봉3",49.0,104,-2.1,-0.45
"RSI과매도30 + 음봉2 + 음봉3",49.0,104,-2.1,-0.45
"RSI과매도30 + 음봉3",49.0,104,-2.1,-0.45
"20고점 + 60위 + RSI과매수70",49.0,208,-2.1,0.23
"3일+10% + 고변동5 + 양봉1",49.0,104,-2.1,0.33
"20고점 + 고변동5 + 양봉2",49.0,51,-2.1,-0.10
"3%상승 + 50고점 + 고변동5",49.0,51,-2.1,0.20
"50고점 + RSI과매수80 + 종가상승3",49.0,51,-2.1,0.69
"RSI과매수80 + 양봉4 + 이격+10",49.0,51,-2.1,0.09
"20아래 + 60위 + 음봉4",49.0,51,-2.1,-0.32
"20위 + 5_20상향 + 60아래",49.0,51,-2.1,-0.55
"20아래 + 갭상승2 + 음봉2",49.0,51,-2.1,0.17
"3%상승 + 거래량1.5",49.0,149,-2.1,0.35
"3%상승 + 60위 + 양봉2",49.0,198,-2.1,-0.08
"20위 + 갭상승1 + 갭상승2",49.0,247,-2.1,0.38
"20위 + 갭상승2",49.0,247,-2.1,0.38
"갭상승1 + 갭상승2 + 거래량2",49.0,49,-2.1,0.06
"갭상승2 + 거래량1.5 + 거래량2",49.0,49,-2.1,0.06
"갭상승2 + 거래량2",49.0,49,-2.1,0.06
"5일+15% + 갭상승1 + 종가상승3",49.0,49,-2.1,0.49
"갭하락1 + 음봉2 + 이격-5",49.0,98,-2.1,-0.02
"20고점 + RSI과매수80 + 양봉3",49.0,49,-2.1,0.71
"RSI과매수70 + 거래량1.5 + 종가상승3",49.0,49,-2.1,0.44
"60위 + 갭하락1 + 이격+5",49.0,145,-2.1,0.03
"20고점 + RSI과매수70 + 양봉2",49.0,145,-2.1,0.26
"20아래 + 60위 + 양봉1",49.0,192,-2.1,-0.24
"갭상승2 + 양봉1 + 종가상승2",49.0,96,-2.1,0.27
"20아래 + 20저점",49.0,143,-2.1,0.35
"20저점",49.0,143,-2.1,0.35
"20고점 + 양봉1 + 종가상승3",49.0,143,-2.1,0.51
"10일+20% + 60위 + 7%상승",48.9,47,-2.2,0.46
"3일+10% + 5일+15% + 갭상승2",48.9,47,-2.2,0.78
"5%상승 + 고변동5 + 양봉2",48.9,94,-2.2,-0.04
"20고점 + 양봉2 + 종가상승2",48.9,188,-2.2,0.41
"20아래 + 5%상승 + 고변동5",48.9,47,-2.2,0.44
"50고점 + 거래량1.5 + 양봉1",48.9,47,-2.2,-0.02
"RSI과매도30 + 갭하락1 + 음봉2",48.9,47,-2.2,-0.16
"50고점 + 양봉2 + 이격+5",48.9,139,-2.2,0.24
"갭상승1 + 양봉2 + 종가상승2",48.9,184,-2.2,0.03
"고변동5 + 고변동8 + 양봉1",48.9,92,-2.2,0.28
"고변동8 + 양봉1",48.9,92,-2.2,0.28
"3%상승 + 60위 + 갭상승2",48.9,137,-2.2,0.25
"20위 + 갭하락1 + 양봉3",48.9,45,-2.2,-0.13
"5%상승 + 60위 + RSI과매수80",48.9,45,-2.2,0.24
"5%상승 + 60위 + 고변동8",48.9,45,-2.2,0.45
"5%상승 + RSI과매수80 + 이격+10",48.9,45,-2.2,0.40
"20위 + 60위 + 갭하락2",48.9,90,-2.2,-0.08
"RSI과매수70 + 거래량1.5 + 이격+5",48.9,131,-2.2,0.38
"50고점 + 양봉2 + 종가상승2",48.9,131,-2.2,0.28
"10일+20% + 7%상승 + 고변동5",48.8,43,-2.3,0.22
"5%상승 + RSI과매수80 + 양봉1",48.8,43,-2.3,0.10
"RSI과매수80 + 갭상승1 + 거래량1.5",48.8,43,-2.3,-0.19
"50고점 + RSI과매수70 + 고변동5",48.8,43,-2.3,0.04
"60아래 + 7%하락 + 갭하락2",48.8,43,-2.3,0.36
"갭상승2 + 고변동5 + 종가상승3",48.8,43,-2.3,-0.17
"60위 + 양봉1 + 양봉2",48.8,598,-2.3,0.00
"60위 + 양봉2",48.8,598,-2.3,0.00
"20위 + 갭상승2 + 양봉1",48.8,127,-2.3,0.19
"3%상승 + 5%상승",48.8,254,-2.3,0.27
"3%상승 + 5%상승 + 7%상승",48.8,127,-2.3,0.50
"3%상승 + 7%상승",48.8,127,-2.3,0.50
"5%상승",48.8,254,-2.3,0.27
"5%상승 + 7%상승",48.8,127,-2.3,0.50
"7%상승",48.8,127,-2.3,0.50
"20위 + 갭상승1 + 양봉2",48.8,168,-2.3,-0.06
"20위 + 60위 + 7%상승",48.8,84,-2.3,0.53
"5%상승 + 갭상승1 + 이격+10",48.8,84,-2.3,0.35
"20고점 + 이격+5 + 종가상승2",48.8,209,-2.3,0.42
"20아래 + 3%하락 + 갭하락1",48.8,207,-2.3,0.15
"3%상승 + 양봉1 + 양봉2",48.8,287,-2.3,0.04
"3%상승 + 양봉2",48.8,287,-2.3,0.04
"20아래 + 20저점 + 5%하락",48.8,41,-2.3,0.76
"20저점 + 3%하락 + 5%하락",48.8,41,-2.3,0.76
"20저점 + 5%하락",48.8,41,-2.3,0.76
"20저점 + 5%하락 + 이격-5",48.8,41,-2.3,0.76
"60위 + 양봉2 + 종가상승2",48.8,445,-2.3,-0.10
"거래량절반 + 음봉1",48.8,80,-2.3,-0.04
"갭상승1 + 갭상승2",48.7,392,-2.4,0.23
"갭상승2",48.7,392,-2.4,0.23
"10일+20% + 거래량1.5 + 종가상승2",48.7,39,-2.4,-0.12
"3%상승 + RSI과매수80 + 거래량1.5",48.7,39,-2.4,0.07
"RSI과매수70 + 거래량1.5 + 종가상승2",48.7,78,-2.4,0.38
"갭상승2 + 거래량2 + 이격+5",48.7,39,-2.4,0.44
"20저점 + 3%하락 + 60아래",48.7,78,-2.4,0.29
"20저점 + 5%하락 + 고변동5",48.7,39,-2.4,0.90
"60아래 + 양봉3 + 종가상승2",48.7,78,-2.4,-0.10
"갭상승1 + 음봉2 + 이격-10",48.7,39,-2.4,-0.59
"3일+10% + 60아래 + 양봉1",48.7,39,-2.4,0.77
"3%상승 + 5%상승 + 고변동5",48.7,193,-2.4,0.28
"5%상승 + 고변동5",48.7,193,-2.4,0.28
"20위 + 3%상승 + 고변동5",48.7,230,-2.4,0.13
"5%상승 + 갭상승2 + 이격+5",48.7,76,-2.4,0.56
"RSI과매수70 + 갭상승1 + 거래량1.5",48.7,76,-2.4,-0.05
"3%상승 + 60위 + 거래량1.5",48.7,113,-2.4,0.30
"20아래 + 갭하락1",48.7,452,-2.4,-0.04
"RSI과매도30 + 갭하락1 + 이격-5",48.7,113,-2.4,-0.11
"60아래 + RSI과매도30 + 양봉1",48.7,113,-2.4,0.32
"20위 + 거래량1.5 + 이격+5",48.7,187,-2.4,0.34
"거래량1.5 + 이격+5",48.7,187,-2.4,0.34
"20위 + 갭하락1 + 거래량1.5",48.6,37,-2.5,-0.27
"5%상승 + 5일+15% + 거래량1.5",48.6,37,-2.5,0.16
"60위 + 7%상승 + 고변동8",48.6,37,-2.5,0.49
"20아래 + 갭하락1 + 고변동5",48.6,185,-2.5,0.17
"20위 + 갭상승1 + 고변동5",48.6,183,-2.5,-0.09
"20위 + 5%상승 + 고변동5",48.6,146,-2.5,0.23
"3일+10% + 거래량1.5 + 고변동5",48.6,72,-2.5,0.36
"20고점 + 3%상승 + 고변동5",48.6,72,-2.5,0.09
"20고점 + 3%상승 + RSI과매수70",48.6,107,-2.5,0.36
"양봉1 + 양봉2 + 종가상승3",48.6,317,-2.5,0.01
"양봉2 + 종가상승2 + 종가상승3",48.6,317,-2.5,0.01
"양봉2 + 종가상승3",48.6,317,-2.5,0.01
"20아래 + 양봉1 + 종가상승2",48.6,175,-2.5,0.12
"10일+20% + 5%상승 + 거래량1.5",48.6,35,-2.5,0.37
"20위 + 7%상승 + 이격+10",48.6,70,-2.5,0.52
"3%상승 + 7%상승 + 이격+10",48.6,70,-2.5,0.52
"5%상승 + 7%상승 + 이격+10",48.6,70,-2.5,0.52
"5%상승 + RSI과매수70 + 갭상승1",48.6,70,-2.5,0.49
"5일+15% + 60위 + 양봉2",48.6,70,-2.5,0.05
"7%상승 + 거래량2 + 양봉1",48.6,35,-2.5,0.63
"7%상승 + 이격+10",48.6,70,-2.5,0.52
"7%상승 + 이격+10 + 이격+5",48.6,70,-2.5,0.52
"거래량1.5 + 거래량3 + 고변동5",48.6,35,-2.5,1.77
"거래량2 + 거래량3 + 고변동5",48.6,35,-2.5,1.77
"거래량3 + 고변동5",48.6,35,-2.5,1.77
"60아래 + 7%하락 + 고변동8",48.6,35,-2.5,0.81
"60아래 + 거래량2 + 음봉1",48.6,35,-2.5,0.87
"7%하락 + 갭하락1 + 이격-10",48.6,35,-2.5,0.65
"20고점 + 거래량1.5 + 고변동5",48.6,35,-2.5,0.24
"50고점 + 거래량1.5 + 종가상승2",48.6,35,-2.5,0.25
"5일+15% + 거래량1.5 + 이격+5",48.5,68,-2.6,0.16
"50고점 + RSI과매수80 + 양봉2",48.5,68,-2.6,0.26
"50고점 + RSI과매수80 + 종가상승2",48.5,68,-2.6,0.30
"20아래 + 20저점 + 음봉2",48.5,101,-2.6,0.10
"20저점 + 음봉1 + 음봉2",48.5,101,-2.6,0.10
"20저점 + 음봉2",48.5,101,-2.6,0.10
"5%상승 + 양봉2 + 종가상승2",48.5,101,-2.6,-0.06
"갭하락1 + 양봉1 + 양봉3",48.5,66,-2.6,-0.10
"갭하락1 + 양봉2 + 양봉3",48.5,66,-2.6,-0.10
"갭하락1 + 양봉3",48.5,66,-2.6,-0.10
"3%상승 + RSI과매수70 + 고변동8",48.5,33,-2.6,0.29
"3일+10% + 고변동8 + 양봉1",48.5,33,-2.6,0.51
"5일+15% + 갭상승2 + 거래량1.5",48.5,33,-2.6,-0.31
"7%상승 + RSI과매수70 + 거래량1.5",48.5,33,-2.6,0.61
"20고점 + 7%상승 + RSI과매수70",48.5,33,-2.6,0.39
"20고점 + 7%상승 + 고변동5",48.5,33,-2.6,0.14
"60위 + 양봉1 + 이격-5",48.5,33,-2.6,0.40
"3%하락 + 50저점 + 음봉2",48.5,33,-2.6,0.50
"3%하락 + 5_10하향 + 60아래",48.5,33,-2.6,-0.02
"5%상승 + 60위 + 양봉3",48.5,33,-2.6,-0.42
"20위 + 60위 + 양봉2",48.5,524,-2.6,0.04
"20고점 + 60위 + 양봉2",48.5,196,-2.6,0.28
"20위 + 고변동5 + 양봉1",48.5,291,-2.6,-0.07
"20위 + 양봉2 + 종가상승2",48.4,514,-2.7,-0.07
"60아래 + RSI과매도30 + 음봉4",48.4,64,-2.7,-0.41
"고변동5 + 양봉1 + 종가상승2",48.4,192,-2.7,0.11
"7%상승 + 양봉1 + 이격+10",48.4,64,-2.7,0.13
"갭상승2 + 양봉2 + 이격+5",48.4,64,-2.7,0.07
"거래량2 + 고변동5 + 이격+5",48.4,64,-2.7,1.03
"20위 + 양봉3 + 종가상승3",48.4,217,-2.7,0.04
"갭하락1 + 양봉3 + 이격+5",48.4,31,-2.7,-0.02
"7%상승 + 고변동5 + 종가상승2",48.4,62,-2.7,0.72
"7%상승 + 고변동8 + 종가상승2",48.4,31,-2.7,1.24
"3일+10% + 양봉3 + 종가상승3",48.4,62,-2.7,0.05
"RSI과매수70 + 양봉3 + 종가상승2",48.4,124,-2.7,0.23
"고변동5 + 양봉3 + 종가상승2",48.4,62,-2.7,-0.28
"20아래 + 5%상승 + 양봉2",48.4,31,-2.7,0.08
"5%상승 + 60아래 + 이격-5",48.4,31,-2.7,0.44
"60아래 + 갭상승2 + 거래량1.5",48.4,31,-2.7,0.45
"20아래 + RSI과매도20 + 양봉1",48.4,31,-2.7,0.38
"RSI과매도20 + RSI과매도30 + 양봉1",48.4,31,-2.7,0.38
"RSI과매도20 + 양봉1",48.4,31,-2.7,0.38
"RSI과매도30 + 갭상승2 + 이격-10",48.4,31,-2.7,-0.61
"갭상승2 + 음봉1 + 이격-10",48.4,31,-2.7,0.41
"50고점 + 갭상승2 + 양봉1",48.4,31,-2.7,0.27
"20위 + 5%상승 + 60위",48.4,153,-2.7,0.42
"60위 + 양봉3 + 종가상승3",48.4,182,-2.7,-0.12
"20위 + 갭하락1 + 양봉2",48.4,91,-2.7,-0.17
"양봉1 + 양봉3 + 종가상승3",48.3,242,-2.8,-0.02
"양봉2 + 양봉3 + 종가상승3",48.3,242,-2.8,-0.02
"양봉3 + 종가상승2 + 종가상승3",48.3,242,-2.8,-0.02
"양봉3 + 종가상승3",48.3,242,-2.8,-0.02
"20아래 + 갭하락1 + 음봉1",48.3,242,-2.8,-0.10
"3%상승 + 7%상승 + 양봉2",48.3,60,-2.8,0.40
"5%상승 + 7%상승 + 양봉2",48.3,60,-2.8,0.40
"5%상승 + 갭상승2 + 이격+10",48.3,60,-2.8,0.59
"7%상승 + 양봉1 + 양봉2",48.3,60,-2.8,0.40
"7%상승 + 양봉2",48.3,60,-2.8,0.40
"3일+10% + 양봉3 + 이격+5",48.3,60,-2.8,0.40
"60아래 + 양봉3 + 종가상승3",48.3,60,-2.8,0.30
"20저점 + 60아래 + 종가하락2",48.3,89,-2.8,0.16
"3%상승 + 60아래 + 양봉2",48.3,89,-2.8,0.31
"20고점 + 20위 + 종가상승3",48.3,147,-2.8,0.47
"20고점 + 종가상승2 + 종가상승3",48.3,147,-2.8,0.47
"20고점 + 종가상승3",48.3,147,-2.8,0.47
"양봉1 + 양봉2 + 종가상승2",48.3,644,-2.8,-0.03
"양봉2 + 종가상승2",48.3,644,-2.8,-0.03
"20아래 + 갭상승1 + 갭상승2",48.3,145,-2.8,-0.01
"20아래 + 갭상승2",48.3,145,-2.8,-0.01
"갭상승1 + 양봉1 + 이격-5",48.3,58,-2.8,0.69
"갭하락1 + 고변동5 + 음봉1",48.3,143,-2.8,0.07
"20고점 + 양봉2 + 이격+10",48.2,114,-2.9,0.35
"3%상승 + 갭상승1 + 양봉3",48.2,56,-2.9,-0.12
"20위 + RSI과매수70 + 거래량2",48.2,56,-2.9,0.93
"60위 + 7%상승 + RSI과매수70",48.2,56,-2.9,0.50
"60위 + RSI과매수70 + 거래량2",48.2,56,-2.9,0.93
"7%상승 + RSI과매수70 + 이격+10",48.2,56,-2.9,0.67
"RSI과매수70 + 거래량1.5 + 거래량2",48.2,56,-2.9,0.93
"RSI과매수70 + 거래량2",48.2,56,-2.9,0.93
"60아래 + RSI과매도30 + 종가하락4",48.2,56,-2.9,0.18
"20아래 + 50저점 + 음봉1",48.2,56,-2.9,0.49
"20저점 + 50저점 + 음봉1",48.2,56,-2.9,0.49
"50저점 + 60아래 + 음봉1",48.2,56,-2.9,0.49
"50저점 + 음봉1",48.2,56,-2.9,0.49
"50저점 + 음봉1 + 이격-5",48.2,56,-2.9,0.49
"양봉3 + 이격+5 + 종가상승3",48.2,166,-2.9,0.16
"20고점 + 60위 + 이격+5",48.2,272,-2.9,0.28
"20위 + 거래량1.5",48.1,243,-3.0,0.23
"10_20상향 + 20위 + 60위",48.1,54,-3.0,0.12
"20위 + 3%상승 + 5%상승",48.1,189,-3.0,0.31
"20위 + 5%상승",48.1,189,-3.0,0.31
"RSI과매도30 + 음봉1 + 종가하락4",48.1,54,-3.0,-0.06
"7%하락 + 갭하락1 + 이격-5",48.1,54,-3.0,0.33
"60아래 + 거래량1.5 + 고변동8",48.1,54,-3.0,0.30
"60위 + RSI과매수70 + 거래량1.5",48.1,133,-3.0,0.30
"3%상승 + 양봉3 + 종가상승3",48.1,79,-3.0,-0.09
"갭상승1 + 거래량1.5 + 종가상승2",48.1,79,-3.0,-0.21
"60위 + 7%상승 + 이격+5",48.1,79,-3.0,0.49
"갭하락1 + 고변동5 + 이격-10",48.1,79,-3.0,0.10
"20위 + 60아래 + 종가상승3",48.1,79,-3.0,0.77
"3%상승 + 5%상승 + 양봉1",48.1,235,-3.0,0.05
"5%상승 + 양봉1",48.1,235,-3.0,0.05
"갭상승1 + 양봉3 + 이격+10",48.1,52,-3.0,-0.15
"20고점 + 20위 + 고변동5",48.1,77,-3.0,-0.01
"20고점 + 고변동5",48.1,77,-3.0,-0.01
"20고점 + 고변동5 + 양봉1",48.1,77,-3.0,-0.01
"20고점 + 고변동5 + 이격+5",48.1,77,-3.0,-0.01
"20위 + 양봉4 + 이격+10",48.1,77,-3.0,0.03
"양봉1 + 양봉4 + 이격+10",48.1,77,-3.0,0.03
"양봉2 + 양봉4 + 이격+10",48.1,77,-3.0,0.03
"양봉3 + 양봉4 + 이격+10",48.1,77,-3.0,0.03
"양봉4 + 이격+10",48.1,77,-3.0,0.03
"양봉4 + 이격+10 + 이격+5",48.1,77,-3.0,0.03
"갭하락1 + 음봉1 + 음봉2",48.0,177,-3.1,-0.20
"갭하락1 + 음봉2",48.0,177,-3.1,-0.20
"20위 + 고변동5 + 고변동8",48.0,100,-3.1,-0.21
"20위 + 고변동8",48.0,100,-3.1,-0.21
"60아래 + 양봉1 + 종가상승2",48.0,250,-3.1,0.28
"갭상승1 + 음봉1 + 종가상승3",48.0,75,-3.1,0.56
"3%상승 + 갭상승2 + 고변동5",48.0,98,-3.1,0.30
"20아래 + 60위 + 음봉2",48.0,171,-3.1,-0.14
"3%상승 + 5%상승 + 60위",48.0,171,-3.1,0.32
"5%상승 + 60위",48.0,171,-3.1,0.32
"7%상승 + 갭상승2 + 양봉1",47.9,73,-3.2,0.29
"20아래 + 양봉1 + 양봉3",47.9,73,-3.2,-0.17
"20아래 + 양봉2 + 양봉3",47.9,73,-3.2,-0.17
"20아래 + 양봉3",47.9,73,-3.2,-0.17
"20저점 + 60아래 + 이격-5",47.9,121,-3.2,0.28
"20아래 + 양봉1 + 양봉2",47.9,240,-3.2,-0.01
"20아래 + 양봉2",47.9,240,-3.2,-0.01
"10_20상향 + 음봉1",47.9,48,-3.2,0.40
"20위 + 7%상승 + 양봉2",47.9,48,-3.2,0.19
"3일+10% + RSI과매수80 + 양봉1",47.9,48,-3.2,0.33
"3일+10% + 양봉2 + 종가상승2",47.9,96,-3.2,0.16
"7%상승 + RSI과매수70 + 갭상승1",47.9,48,-3.2,0.44
"RSI과매수70 + 거래량2 + 이격+10",47.9,48,-3.2,0.98
"3%하락 + 5_10하향",47.9,48,-3.2,-0.17
"50고점 + 거래량1.5 + 이격+5",47.9,48,-3.2,0.02
"20아래 + RSI과매도30 + 갭하락1",47.9,119,-3.2,-0.11
"RSI과매도30 + 갭하락1",47.9,119,-3.2,-0.11
"60위 + 7%상승 + 갭상승1",47.9,71,-3.2,0.36
"3%상승 + 양봉2 + 종가상승2",47.9,236,-3.2,0.01
"60위 + 거래량1.5 + 종가상승2",47.9,117,-3.2,-0.12
"3%상승 + 7%상승 + 양봉1",47.9,117,-3.2,0.19
"5%상승 + 7%상승 + 양봉1",47.9,117,-3.2,0.19
"7%상승 + 양봉1",47.9,117,-3.2,0.19
"20위 + 5일+15% + 거래량1.5",47.8,69,-3.3,0.12
"5일+15% + 거래량1.5",47.8,69,-3.3,0.12
"7%상승 + 갭상승2 + 이격+10",47.8,46,-3.3,0.74
"RSI과매수80 + 거래량1.5 + 양봉1",47.8,46,-3.3,0.09
"20고점 + 3%상승 + 종가상승3",47.8,69,-3.3,0.30
"20고점 + 60위 + 종가상승3",47.8,138,-3.3,0.40
"50고점 + 양봉2 + 이격+10",47.8,92,-3.3,0.29
"7%하락 + 갭하락1 + 음봉1",47.8,69,-3.3,0.40
"20아래 + 고변동5 + 종가상승2",47.8,46,-3.3,0.57
"60아래 + 양봉2 + 이격-5",47.8,69,-3.3,0.26
"20아래 + 갭상승2 + 이격-10",47.8,46,-3.3,0.08
"갭상승1 + 갭상승2 + 이격-10",47.8,46,-3.3,0.08
"갭상승2 + 이격-10",47.8,46,-3.3,0.08
"갭상승2 + 이격-10 + 이격-5",47.8,46,-3.3,0.08
"20고점 + 갭상승2 + 양봉1",47.8,46,-3.3,0.43
"3%상승 + 갭상승1 + 고변동5",47.8,159,-3.3,0.15
"갭상승1 + 양봉1 + 양봉2",47.8,226,-3.3,0.00
"갭상승1 + 양봉2",47.8,226,-3.3,0.00
"20위 + 7%상승 + 이격+5",47.8,90,-3.3,0.38
"3%상승 + 7%상승 + 이격+5",47.8,90,-3.3,0.38
"5%상승 + 7%상승 + 이격+5",47.8,90,-3.3,0.38
"5%상승 + 고변동5 + 양봉1",47.8,180,-3.3,0.06
"7%상승 + 이격+5",47.8,90,-3.3,0.38
"20위 + RSI과매수70 + 거래량1.5",47.8,134,-3.3,0.29
"RSI과매수70 + 거래량1.5",47.8,134,-3.3,0.29
"50고점 + RSI과매수70 + 양봉3",47.8,67,-3.3,0.40
"20위 + 5%상승 + 양봉1",47.8,178,-3.3,0.10
"60아래 + RSI과매도30 + 갭하락1",47.7,111,-3.4,-0.14
"고변동5 + 양봉1 + 양봉2",47.7,199,-3.4,-0.23
"고변동5 + 양봉2",47.7,199,-3.4,-0.23
"20위 + 양봉3 + 이격+5",47.7,243,-3.4,0.18
"양봉1 + 양봉3 + 이격+5",47.7,243,-3.4,0.18
"양봉2 + 양봉3 + 이격+5",47.7,243,-3.4,0.18
"양봉3 + 이격+5",47.7,243,-3.4,0.18
"10일+20% + 3%상승 + 거래량1.5",47.7,44,-3.4,0.03
"갭상승1 + 갭상승2 + 음봉3",47.7,44,-3.4,0.68
"갭상승2 + 음봉1 + 음봉3",47.7,44,-3.4,0.68
"갭상승2 + 음봉2 + 음봉3",47.7,44,-3.4,0.68
"갭상승2 + 음봉3",47.7,44,-3.4,0.68
"60아래 + 갭상승2 + 이격-10",47.7,44,-3.4,0.02
"3%상승 + 고변동5 + 양봉1",47.7,304,-3.4,0.07
"5_20하향 + 60아래",47.7,65,-3.4,0.51
"20아래 + 양봉2 + 종가상승2",47.7,130,-3.4,0.10
"60위 + 거래량1.5 + 종가상승3",47.7,65,-3.4,0.02
"3%상승 + 7%상승 + 거래량1.5",47.7,65,-3.4,0.57
"5%상승 + 7%상승 + 거래량1.5",47.7,65,-3.4,0.57
"7%상승 + 거래량1.5",47.7,65,-3.4,0.57
"3일+10% + 양봉3 + 종가상승2",47.7,65,-3.4,0.26
"50고점 + 양봉3 + 종가상승3",47.7,65,-3.4,0.45
"60아래 + 갭상승2 + 음봉1",47.7,86,-3.4,0.17
"3%상승 + 거래량1.5 + 이격+5",47.7,107,-3.4,0.16
"5%상승 + 갭상승1 + 이격+5",47.7,107,-3.4,0.23
"20아래 + 60아래 + 갭상승2",47.7,107,-3.4,0.01
"20저점 + 60아래 + 음봉1",47.6,126,-3.5,0.29
"3%상승 + 7%상승 + 거래량2",47.6,42,-3.5,0.96
"3일+10% + 거래량2 + 이격+5",47.6,42,-3.5,0.61
"5%상승 + 7%상승 + 거래량2",47.6,42,-3.5,0.96
"7%상승 + 거래량1.5 + 거래량2",47.6,42,-3.5,0.96
"7%상승 + 거래량2",47.6,42,-3.5,0.96
"고변동8 + 양봉1 + 종가상승2",47.6,42,-3.5,0.48
"20위 + 음봉3 + 이격+5",47.6,42,-3.5,0.82
"60위 + 음봉3 + 이격+5",47.6,42,-3.5,0.82
"음봉1 + 음봉3 + 이격+5",47.6,42,-3.5,0.82
"음봉2 + 음봉3 + 이격+5",47.6,42,-3.5,0.82
"음봉3 + 이격+5",47.6,42,-3.5,0.82
"50저점 + 음봉1 + 종가하락2",47.6,42,-3.5,0.30
"20고점 + 거래량1.5 + 양봉2",47.6,42,-3.5,-0.04
"60아래 + 갭상승2 + 음봉2",47.6,42,-3.5,-0.03
"양봉1 + 양봉2 + 양봉3",47.6,416,-3.5,-0.02
"양봉1 + 양봉3",47.6,416,-3.5,-0.02
"양봉2 + 양봉3",47.6,416,-3.5,-0.02
"양봉3",47.6,416,-3.5,-0.02
"20위 + 양봉1 + 양봉3",47.5,343,-3.6,0.01
"20위 + 양봉2 + 양봉3",47.5,343,-3.6,0.01
"20위 + 양봉3",47.5,343,-3.6,0.01
"20위 + 거래량2 + 이격+5",47.5,80,-3.6,0.50
"거래량1.5 + 거래량2 + 이격+5",47.5,80,-3.6,0.50
"거래량2 + 이격+5",47.5,80,-3.6,0.50
"20아래 + 60아래 + 거래량절반",47.5,40,-3.6,0.39
"3%상승 + 거래량1.5 + 이격+10",47.5,80,-3.6,0.21
"3%상승 + 고변동8 + 종가상승2",47.5,40,-3.6,0.78
"3일+10% + 7%상승 + 거래량1.5",47.5,40,-3.6,0.46
"3일+10% + 거래량1.5 + 이격+5",47.5,80,-3.6,0.18
"5%상승 + 60위 + 양봉1",47.5,160,-3.6,0.08
"갭상승2 + 거래량2 + 고변동5",47.5,40,-3.6,0.11
"20고점 + 60위 + 7%상승",47.5,40,-3.6,0.09
"20저점 + 5%하락 + 60아래",47.5,40,-3.6,0.63
"20저점 + 5%하락 + 음봉1",47.5,40,-3.6,0.63
"60위 + 갭하락2 + 이격+5",47.5,59,-3.6,-0.25
"20아래 + 3%상승 + 양봉2",47.5,59,-3.6,-0.05
"20아래 + 양봉2 + 이격-5",47.4,78,-3.7,0.07
"양봉1 + 양봉2 + 이격-5",47.4,78,-3.7,0.07
"양봉2 + 이격-5",47.4,78,-3.7,0.07
"60아래 + RSI과매도30 + 음봉3",47.4,95,-3.7,-0.54
"3일+10% + 60위 + 거래량1.5",47.4,76,-3.7,-0.03
"3일+10% + 거래량2 + 고변동5",47.4,38,-3.7,0.64
"3일+10% + 거래량2 + 이격+10",47.4,38,-3.7,0.57
"5%상승 + RSI과매수80 + 고변동5",47.4,38,-3.7,-0.08
"7%상승 + 갭상승1 + 종가상승2",47.4,57,-3.7,0.59
"7%상승 + 거래량2 + 이격+5",47.4,38,-3.7,1.05
"20고점 + 고변동5 + 종가상승2",47.4,57,-3.7,0.04
"20고점 + 고변동5 + 종가상승3",47.4,38,-3.7,-0.20
"3%상승 + 고변동5 + 양봉3",47.4,57,-3.7,-0.21
"20아래 + 갭하락1 + 이격-5",47.4,266,-3.7,-0.03
"갭하락1 + 이격-5",47.4,266,-3.7,-0.03
"3%상승 + 60아래 + 고변동5",47.4,114,-3.7,0.23
"20아래 + 20저점 + 50저점",47.4,57,-3.7,0.43
"20아래 + 50저점",47.4,57,-3.7,0.43
"20아래 + 50저점 + 60아래",47.4,57,-3.7,0.43
"20아래 + 50저점 + 이격-5",47.4,57,-3.7,0.43
"20저점 + 50저점",47.4,57,-3.7,0.43
"20저점 + 50저점 + 60아래",47.4,57,-3.7,0.43
"20저점 + 50저점 + 이격-5",47.4,57,-3.7,0.43
"50저점",47.4,57,-3.7,0.43
"50저점 + 60아래",47.4,57,-3.7,0.43
"50저점 + 60아래 + 이격-5",47.4,57,-3.7,0.43
"50저점 + 이격-5",47.4,57,-3.7,0.43
"거래량1.5 + 고변동5 + 종가상승3",47.4,38,-3.7,0.14
"5%상승 + 양봉3 + 종가상승2",47.4,38,-3.7,-0.22
"60아래 + 고변동5 + 양봉1",47.3,188,-3.8,0.15
"20저점 + 60아래 + 음봉2",47.3,93,-3.8,0.02
"5%상승 + 갭상승1 + 양봉2",47.3,93,-3.8,-0.11
"3%상승 + 5%상승 + 갭상승1",47.3,184,-3.8,0.13
"5%상승 + 갭상승1",47.3,184,-3.8,0.13
"5%상승 + 갭상승2 + 거래량1.5",47.3,55,-3.8,0.29
"60아래 + 거래량1.5 + 거래량2",47.3,55,-3.8,0.66
"60아래 + 거래량2",47.3,55,-3.8,0.66
"3일+10% + 60아래",47.3,55,-3.8,0.99
"60아래 + 양봉2 + 종가상승2",47.2,199,-3.9,0.12
"10_20상향 + 종가상승2",47.2,36,-3.9,0.43
"20위 + 3일+10% + 양봉1",47.2,144,-3.9,0.41
